KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,n_cens,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
199-D4-39__ITER2,199-D4-39,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,23.0,2.5912605394751154e-13,144.0,378.2343755633816,384.22880011090984,1.0,386.3207331431186,433.62580891887853,434.197139653534,389.3179454168827,436.6230211926426,437.1943519272981,-187.1171877816908,148.0,11.0,57.658850793288885,-0.37377765976078087,-0.0006747742389713986,0.2640752169316554,0.00123595896910027,4.030804088554483e-17,4,4,INTERP+EVENT,True
199-D4-48__ITER1,199-D4-48,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,6.0,0.0019819279787349764,10.0,33.76540473047922,35.043519389709736,0.4415115297437553,43.2170758282822,32.13030244179078,44.21277509329144,43.85613315789745,32.76935977140604,44.851832422906696,-14.88270236523961,14.0,3.0,229.87837730840937,-1.8331674068104453,-0.0008090393375354342,0.0025453548774273527,0.00033477470850309027,0.5448693659189782,4,4,INTERP+EVENT,True
199-D4-48__ITER2,199-D4-48,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,6.0,0.05037521535765954,9.0,34.90256351500875,36.032462229931824,0.8017518756082248,38.766614702060515,34.46065131297125,38.87907548227757,39.33156405952205,35.02560067043279,39.44402483973911,-15.451281757504374,13.0,4.0,111.56579047479825,-0.9193391089648115,-0.00015640906567733424,-0.5198480667464658,0.04230250496290281,0.20187201496342322,4,4,INTERP+EVENT,True
199-D4-50__ITER1,199-D4-50,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,29.0,0.0010064991572421578,11.0,33.933841153137664,35.349941555342085,1.0,42.365830981222885,39.36033893096018,45.73639545353781,43.073881182325096,40.06838913206239,46.44444565464002,-14.966920576568834,15.0,1.0,261.84517386632353,-1.7870945599899497,-0.00331651048834369,-0.02400915125659575,7.651661888452412e-05,0.0023834720516675485,4,4,INTERP+EVENT,True
199-D4-50__ITER2,199-D4-50,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D4-56__ITER1,199-D4-56,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,28.0,0.0033771561514716053,10.0,34.98283269345886,36.26094735268938,1.0,41.56969439369642,39.17819668625537,44.36427529135156,42.20875172331168,39.817254015870624,45.003332620966816,-15.49141634672943,14.0,3.0,336.7348636110567,-2.274645368145586,-0.00457692963967352,0.2968331460632994,0.0005450622433995118,0.007795541729727302,4,4,INTERP+EVENT,True
199-D4-56__ITER2,199-D4-56,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D4-60__ITER1,199-D4-60,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,84.0,0.011330527752372865,4.0,18.983218635255977,19.14210171861565,0.40981495700472736,17.19911954417598,24.21406765798326,25.943727885138316,17.278561085855817,24.293509199663095,26.02316942681815,-7.491609317627988,8.0,2.0,249.95824991624937,-0.26591449469537465,-0.01510954451078358,0.08973782109160999,0.6461070739515005,0.005534993390172358,4,4,INTERP+EVENT,True
199-D4-60__ITER2,199-D4-60,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D4-68__ITER1,199-D4-68,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
