NAME,XCOORDS,YCOORDS,OU,SYSTEM
199-H3-4,577544.3,152293.2,100-HR-3-H,HX
199-H3-5,577454.7,152287.5,100-HR-3-H,HX
199-H3-6,578266.5,152425.3,100-HR-3-H,HX
199-H3-7,577931.7,152280,100-HR-3-H,HX
199-H3-9,578039.1,152913.6,100-HR-3-H,HX
199-H4-10,577827.2,153155.8,100-HR-3-H,HX
199-H4-11,578141.9,152728.4,100-HR-3-H,HX
199-H4-12A,578009.2,152912.7,100-HR-3-H,HX
199-H4-12B,578004.4,152918.5,100-HR-3-H,HX
199-H4-12C,578011.8,152919.8,100-HR-3-H,HX
199-H4-13,578219.3,152595.3,100-HR-3-H,HX
199-H4-15A,577904.3,153053.4,100-HR-3-H,HX
199-H4-15B,577899.6,153059.5,100-HR-3-H,HX
199-H4-15CP,577907.7,153060,100-HR-3-H,HX
199-H4-15CQ,577907.7,153060,100-HR-3-H,HX
199-H4-15CR,577907.7,153060,100-HR-3-H,HX
199-H4-15CS,577907.7,153060,100-HR-3-H,HX
199-H4-16,577981.9,152591.6,100-HR-3-H,HX
199-H4-17,577779.2,153037.6,100-HR-3-H,HX
199-H4-18,578018.3,152756.5,100-HR-3-H,HX
199-H4-2,578093.6,152501.5,100-HR-3-H,HX
199-H4-4,578060.8,152854,100-HR-3-H,HX
199-H4-45,578156.4,152433.4,100-HR-3-H,HX
199-H4-46,577883.9,152439.9,100-HR-3-H,HX
199-H4-47,577891.2,152553.3,100-HR-3-H,HX
199-H4-49,577713.8,152445.1,100-HR-3-H,HX
199-H4-5,577944.9,152939.8,100-HR-3-H,HX
199-H4-6,577585.3,152888.4,100-HR-3-H,HX
199-H4-63,578185.8,152665.5,100-HR-3-H,HX
199-H4-64,577946.1,153010.6,100-HR-3-H,HX
199-H4-65,577998.2,152787.3,100-HR-3-H,HX
199-H4-69,578014.1,152686.7,100-HR-3-H,HX
199-H4-70,578003.8,152646.5,100-HR-3-H,HX
199-H4-74,577239.1,152268.8,100-HR-3-H,HX
199-H4-75,577212.4,152704.6,100-HR-3-H,HX
199-H4-76,576787.3,152976.9,100-HR-3-H,HX
199-H4-77,576487.8,152975.4,100-HR-3-H,HX
199-H4-8,577860.7,152921.7,100-HR-3-H,HX
199-H4-83,578135,152634,100-HR-3-H,HX
199-H4-84,577902.6,152848.7,100-HR-3-H,HX
199-H4-85,577980,152880.8,100-HR-3-H,HX
199-H4-86,577704.6,152745.6,100-HR-3-H,HX
199-H4-90,577922.9,152592.6,100-HR-3-H,HX
199-H4-91,578126.6,152524.1,100-HR-3-H,HX
199-H4-92,576723.3,152233.8,100-HR-3-H,HX
199-H4-93,577025.8,152703.3,100-HR-3-H,HX
199-H5-16,576906.8,151646.3,100-HR-3-H,HX
199-H5-1A,577650.1,152257.7,100-HR-3-H,HX
199-H6-1,578236.6,152247.6,100-HR-3-H,HX
199-H6-2,577886.5,152194.1,100-HR-3-H,HX
199-H6-3,578340.4,151929.4,100-HR-3-H,HX
199-H6-4,577771.6,151737.1,100-HR-3-H,HX
199-H6-7,577704.1,151478,100-HR-3-H,HX
199-H6-8,578205.6,151928.1,100-HR-3-H,HX
43-M,576782.6,153963.6,100-HR-3-H,HX
44-M,577033.1,153810.5,100-HR-3-H,HX
45-D,577597.8,153493.8,100-HR-3-H,HX
45-M,577597.8,153493.8,100-HR-3-H,HX
45-S,577597.8,153493.8,100-HR-3-H,HX
47-D,578193.4,152744.4,100-HR-3-H,HX
47-M,578193.9,152743.5,100-HR-3-H,HX
48-M,578465.5,152420.8,100-HR-3-H,HX
48-S,578465.5,152420.8,100-HR-3-H,HX
49-D,578699.8,152232.9,100-HR-3-H,HX
49-M,578699.7,152232.8,100-HR-3-H,HX
49-S,578699.7,152232.8,100-HR-3-H,HX
50-M,578611.8,152118.1,100-HR-3-H,HX
50-S,578611.8,152118.1,100-HR-3-H,HX
51-D,578779.2,151843.8,100-HR-3-H,HX
51-M,578779.2,151843.8,100-HR-3-H,HX
51-S,578779.2,151843.8,100-HR-3-H,HX
52-D,578919.5,151586.2,100-HR-3-H,HX
52-M,578919.5,151586.2,100-HR-3-H,HX
52-S,578919.5,151586.2,100-HR-3-H,HX
54-D,579033.5,151231.9,100-HR-3-H,HX
54-M,579033.5,151231.9,100-HR-3-H,HX
54-S,579033.5,151231.9,100-HR-3-H,HX
699-100-43B,576675.9,154008.6,100-HR-3-H,HX
699-101-45,576032.4,154124.2,100-HR-3-H,HX
699-87-42A,576955.2,150059.1,100-FR-3,HX
