"NAME","WELL_ID","TYPE","STATUS","TD","BOH","ZCOORDS","YCOORDS","XCOORDS","OU"
"699-39-84F","A8613","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,135342.083,564292.804,"200-Z-1"
"699-39-84G","A8614","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-39-84H","A8615","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,135439.775,564239.179,"200-Z-1"
"699-39-91","A8616","UNCLASSIFIED","DRILLING CANCELLED",NA,NA,NA,NA,NA,""
"699-39-103","A8617","VADOSE WELL","DECOMMISSIONED-V",48.768,NA,272.357,135431.41,558481.222,"Rattlesnake Hills"
"699-39-E2","A8618","UNCLASSIFIED","DECOMMISSIONED-V",74.676,20.60448,125.093,135446.19,590532.677,"200-PO-1"
"699-40-0","A8619","VADOSE WELL","DECOMMISSIONED-V",114.3,20.4216,129.33,135820.551,589889.574,"200-PO-1"
"699-40-2","A8620","GROUNDWATER WELL","CANDIDATE FOR DECOMMISSIONING",123.444,120.8532,142.506,135806.352,589129.864,"200-PO-1"
"699-40-6","A8621","VADOSE WELL","DECOMMISSIONED-V",86.2584,NA,149.783,135667.668,588101.55,"200-PO-1"
"699-40-11C","A8622","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-40-11D","A8623","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-40-11E","A8624","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-40-11F","A8625","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-40-11G","A8626","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,NA,NA,NA,""
"699-40-12A","A8627","UNCLASSIFIED","DECOMMISSIONED-V",154.5336,NA,155.41,135582.029,585991.02,"200-PO-1"
