KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp_py,p_event_py,AIC_py,BIC_py,logLik_py,n_obs_py,n_cens,model_type,fit_ok,beta_intercept_py,beta_interp_py,beta_event_py,sigma,WELL_r,ITER_r,LAG_r,p_trend_r,AIC_r,BIC_r,logLik_r,beta_intercept_r,beta_interp_r,beta_event_r,p_interp_r,p_event_r,n_obs_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff,logLik_diff,beta_intercept_diff,beta_interp_diff,beta_event_diff,p_interp_diff,p_event_diff,n_obs_diff
199-D4-48__ITER2,199-D4-48,2,6.0,ULAG,0.35737511342435235,0.1826946016051807,0.5690105989232301,39.541521229423765,40.67141994434684,-17.770760614711882,13,4,INTERP+EVENT,True,45.811880710897,-0.38004820806073714,-7.596022085442662e-05,0.6703981343222687,199-D4-48,2.0,6.0,0.0503752153576532,34.9025635150085,36.0324622299316,-14.4512817575043,111.565790378932,-0.919339108178105,-0.0001564090654649,0.0424020631546155,0.201931380157809,13.0,both,0.0,0.30699989806669914,4.6389577144152625,4.638957714415234,-3.3194788572075815,-65.75390966803499,0.5392909001173679,8.044884461047338e-05,0.1402925384505652,0.36707921876542116,0.0
199-D4-50__ITER1,199-D4-50,1,,NONE,,,,,,,15,1,INTERP+EVENT,False,,,,,199-D4-50,1.0,29.0,0.001006499157245,33.9338411531435,35.3499415553479,-13.9669205765717,261.845173761601,-1.78709455949848,-0.0033165104850906,7.65069423160692e-05,0.002382804408698,15.0,both,,,,,,,,,,,0.0
199-D4-50__ITER2,199-D4-50,2,,NONE,,,,,,,5,0,INTERP+EVENT,False,,,,,199-D4-50,2.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-56__ITER1,199-D4-56,1,,NONE,,,,,,,14,3,INTERP+EVENT,False,,,,,199-D4-56,1.0,28.0,0.0033771561514669,34.9828326934562,36.2609473526867,-14.4914163467281,336.734863608224,-2.27464536809351,-0.0045769296399067,0.0005456121653521,0.0077983613189852,14.0,both,,,,,,,,,,,0.0
199-D4-56__ITER2,199-D4-56,2,,NONE,,,,,,,6,0,INTERP+EVENT,False,,,,,199-D4-56,2.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-60__ITER1,199-D4-60,1,,NONE,,,,,,,10,2,INTERP+EVENT,False,,,,,199-D4-60,1.0,84.0,0.0113305277523752,18.9832186352564,19.1421017186161,-6.4916093176282,249.958250396399,-0.265914494379888,-0.0151095445469671,0.646159196869153,0.0055418013519904,8.0,both,,,,,,,,,,,2.0
199-D4-60__ITER2,199-D4-60,2,,NONE,,,,,,,5,0,INTERP+EVENT,False,,,,,199-D4-60,2.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-68__ITER1,199-D4-68,1,,NONE,,,,,,,5,3,INTERP+EVENT,False,,,,,199-D4-68,1.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-68__ITER2,199-D4-68,2,,NONE,,,,,,,6,1,INTERP+EVENT,False,,,,,199-D4-68,2.0,,,,,,,,,,,,both,,,,,,,,,,,
199-D4-78__ITER1,199-D4-78,1,7.0,ULAG,0.7167998778242857,0.7826456803949666,0.4422439531922372,51.01277479273829,52.557952237217854,-23.506387396369146,16,1,INTERP+EVENT,True,16.486087703493972,-0.1139606580496026,-0.0006421085558763986,0.9703564084261234,199-D4-78,1.0,7.0,0.665551754269426,49.8963363978627,51.4415138423423,-21.9481681989314,42.5845476735363,-0.254189207679458,-0.0006929776895306,0.634431630076247,0.403958189730216,16.0,both,0.0,0.05124812355485964,1.116438394875594,1.1164383948755514,-1.5582191974377473,-26.098459970042327,0.14022854962985543,5.0869133654201466e-05,0.1482140503187196,0.03828576346202117,0.0
199-D4-78__ITER2,199-D4-78,2,7.0,ULAG,0.0029320719852550248,0.9882049904685358,0.00017922879785462278,32.06618704238794,33.34430170161845,-14.033093521193967,14,0,INTERP+EVENT,True,1.5216746307558917,-0.0014534109086820632,0.0002432421945394294,0.3932381941290383,199-D4-78,2.0,7.0,0.002926753922948,31.0250446271218,32.3031592863523,-12.5125223135609,-1.3796732001525,-0.0075311811904484,0.0002416304591404,0.950524265062398,0.0002577930055097,14.0,both,0.0,5.318062307024807e-06,1.0411424152661368,1.041142415266151,-1.5205712076330666,2.9013478309083918,0.0060777702817663365,1.6117353990294009e-06,0.03768072540613787,-7.85642076550772e-05,0.0
199-D4-83__ITER1,199-D4-83,1,17.0,ULAG,0.18489776730683483,0.37630176529592696,0.04751478077032729,26.164989166082574,26.559438320755014,-11.082494583041287,9,0,INTERP+EVENT,True,-9.446603903401776,0.11237831345515173,0.0008998642444252566,0.29515548488166954,199-D4-83,1.0,17.0,0.0928118302216163,23.7264839438195,24.1209330984919,-8.86324197190974,30.5196212055832,-0.289167873396277,0.0005325140350839,0.119472311995359,0.203944892303313,9.0,both,0.0,0.09208593708521852,2.4385052222630748,2.438505222263114,-2.2192526111315463,-39.96622510898497,0.40154618685142873,0.00036735020934135665,0.25682945330056794,-0.15643011153298572,0.0
199-D4-83__ITER2,199-D4-83,2,17.0,ULAG,,,,,,,135,30,INTERP+EVENT,False,,,,,199-D4-83,2.0,17.0,6.30758580921764e-08,371.507484524533,377.31803408141,-182.753742262267,61.0570934912469,-0.467314431876131,-0.000288308637872,3.31604757529137e-06,6.99185115406162e-06,135.0,both,0.0,,,,,,,,,,0.0
199-D4-84__ITER1,199-D4-84,1,2.0,ULAG,0.015551445068760383,0.9917896233539666,0.0013375219379266842,24.051567235677943,24.656737421666037,-10.025783617838972,10,0,INTERP+EVENT,True,3.8808529108517504,-0.0007122430170613232,0.00042296993290642077,0.09751418274126844,199-D4-84,1.0,2.0,0.0116822100761729,22.4257893062527,23.0309594922408,-8.21289465312633,2.9336820182709,-0.0401554962495481,0.0004025021435568,0.442820719115215,0.0006064521272972,10.0,both,0.0,0.0038692349925874836,1.6257779294252437,1.6257779294252366,-1.8128889647126414,0.9471708925808504,0.03944325323248678,2.0467789349620747e-05,0.5489689042387516,0.0007310698106294842,0.0
