NAME,XCOORDS,YCOORDS,TOP,BOT,OU,DIST,EVENT,ANALYTE
199-D5-149,573327.62,151461.82,113.962256,110.917304,100-HR-3-D,644.267813883828,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-15,573738.61,151673.75,120.34992,113.91864,100-HR-3-D,760.0045637170173,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-150,573429.42,151401.85,120.70296,111.555912,100-HR-3-D,759.4912754350789,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-151,573312.03,151391.88,121.031912,111.878768,100-HR-3-D,680.8699127289565,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-152,573300.18,151349.1,120.41410400000001,111.254864,100-HR-3-D,701.573603078573,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-153,573329.77,151992.82,119.242144,111.61299999999999,100-HR-3-D,258.36798552069575,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-154,573632.26,151831.74,120.68714400000002,111.53704800000001,100-HR-3-D,569.8870076813084,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-159,573474.25,151910.82,120.84433599999998,113.224336,100-HR-3-D,411.18592542517797,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-16,573917.45,151652.51,120.80948000000001,114.46964000000001,100-HR-3-D,885.3466355922726,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-160,573517.16,151429.17,120.81599999999999,111.67199999999998,100-HR-3-D,804.632969129779,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-162,573596.21,151387.07,120.894392,111.689432,100-HR-3-D,891.0432662966157,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-163,573547.93,151350.27,119.20039999999999,111.50115199999999,100-HR-3-D,881.1269535933111,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-17,573730.52,151322.83,120.28503999999998,113.92996,100-HR-3-D,1032.8606891470008,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-18,573861.7,151325.18,121.77312,114.0312,100-HR-3-D,1111.8114001689444,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-19,573849.12,151243.19,119.13895999999998,112.98199999999999,100-HR-3-D,1169.3760497095093,2008-01-01,Hex. Chromium and Fil. Chromium
