KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
199-D4-27__ITER2,199-D4-27,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,27,0.254333606,6,28.58694858,29.19211877,0.86542255,28.29787379,29.30054476,29.32516551,28.60045888,29.60312985,29.6277506,NA,NA,84.95369808,-0.649294968,-0.000381812,-0.325837058,0.1719333,0.077457096,4,4,INTERP+EVENT,TRUE
199-D4-31__ITER1,199-D4-31,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,20,0.000580916,20,56.18581008,58.54191774,0.958486228,68.46483248,56.10100991,69.08761885,69.64288631,57.27906374,70.26567268,NA,NA,120.1944481,-0.873934184,-0.000816192,-0.346585408,1.00E-05,0.157955571,4,4,INTERP+EVENT,TRUE
199-D4-31__ITER2,199-D4-31,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,20,0.748506219,9,39.27249513,40.40239384,0.416291357,37.85122052,37.51975535,37.85184666,38.41616987,38.08470471,38.41679602,NA,NA,-2.77664873,0.046808077,2.10E-05,-1.616298252,0.44172378,0.617338087,4,4,INTERP+EVENT,TRUE
199-D4-34__ITER1,199-D4-34,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,2,8.19E-05,11,26.71385382,28.12995422,0.368127024,42.92628884,24.71519937,43.53326292,43.63433904,25.42324957,44.24131312,NA,NA,145.8607895,-1.204516809,2.80E-05,-0.386802103,2.53E-09,0.970738146,4,4,INTERP+EVENT,TRUE
199-D4-34__ITER2,199-D4-34,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,10,1.79E-12,116,292.4627897,298.0377732,1,315.5599326,335.735099,344.5605549,318.3474244,338.5225908,347.3480467,NA,NA,47.80804803,-0.334227622,-0.000325775,-0.624514959,1.30E-07,1.10E-13,4,4,INTERP+EVENT,TRUE
199-D4-38__ITER1,199-D4-38,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,1,0.875361169,5,28.21460885,28.60905801,0.368381347,26.45688477,26.21733564,26.48084628,26.65410934,26.41456021,26.67807085,NA,NA,25.1023987,-0.167469143,-3.79E-05,-0.77904457,0.620214392,0.958351334,4,4,INTERP+EVENT,TRUE
199-D4-38__ITER2,199-D4-38,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,1,2.37E-13,184,499.3567014,505.8295853,1,554.2650937,516.0714151,555.4949105,557.5015356,519.307857,558.7313525,NA,NA,95.16651758,-0.760935762,-0.000259091,0.064104928,1.86E-15,9.08E-06,4,4,INTERP+EVENT,TRUE
199-D4-39__ITER1,199-D4-39,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,23,0.012541369,5,19.72340108,20.11785024,0.368377235,17.72610554,24.0442446,26.48084628,17.92333012,24.24146918,26.67807085,NA,NA,-18.24108639,-0.00933727,0.001789467,-1.147124139,0.958522077,0.002465803,4,4,INTERP+EVENT,TRUE
199-D4-39__ITER2,199-D4-39,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,23,9.07E-13,143,378.0187547,383.9996199,1,386.2879111,430.7450546,431.4758169,389.2783436,433.7354871,434.4662495,NA,NA,57.11572598,-0.372488049,-0.000653027,0.251231063,0.001109241,2.84E-16,4,4,INTERP+EVENT,TRUE
199-D4-48__ITER1,199-D4-48,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,6,0.001981928,10,33.76540473,35.04351939,0.44151153,43.21707583,32.13030244,44.21277509,43.85613316,32.76935977,44.85183242,NA,NA,229.8783773,-1.833167407,-0.000809039,0.002545355,0.000334957,0.544883689,4,4,INTERP+EVENT,TRUE
