KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp,p_event,AIC_py,BIC_py,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma,WELL_r,ITER_r,CLASS,p_trend_r,AIC_r,BIC_r,LAG_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff
199-D4-98__ITER1,199-D4-98,1,,NONE,,,,,,,192,35,INTERP+EVENT,False,,,,,199-D4-98,1.0,Trend_Summary,3.7081449022480203e-14,INTERP + EVENT,INTERP + EVENT,1.0,both,,,,
199-D4-99__ITER1,199-D4-99,1,,NONE,,,,,,,188,23,INTERP+EVENT,False,,,,,199-D4-99,1.0,Trend_Summary,0.0038292368490608,INTERP + EVENT,INTERP + EVENT,50.0,both,,,,
199-D5-101__ITER1,199-D5-101,1,,NONE,,,,,,,163,4,INTERP+EVENT,False,,,,,199-D5-101,1.0,Trend_Summary,0.0,INTERP + EVENT,INTERP + EVENT,63.0,both,,,,
199-D5-101__ITER2,199-D5-101,2,,NONE,,,,,,,34,3,INTERP+EVENT,False,,,,,199-D5-101,2.0,Trend_Summary,0.0488766075719911,INTERP + EVENT,INTERP + EVENT,4.0,both,,,,
199-D5-103__ITER1,199-D5-103,1,66.0,ULAG,0.8868352921707944,0.9027314480405847,1.0,91.73399704905714,94.60197145802744,-43.86699852452857,31,0,INTERP+EVENT,True,2.015860568394298,0.024251051808007143,0.0,0.2231392902675795,199-D5-103,1.0,Trend_Summary,0.0439772944833818,INTERP + EVENT,INTERP + EVENT,66.0,both,0.0,0.8428579976874125,,
199-D5-103__ITER2,199-D5-103,2,66.0,ULAG,0.0009307754428448112,5.666228109791139e-06,1.0,43.960679242312736,45.84955720064562,-19.980339621156368,19,0,INTERP+EVENT,True,83.9371834247732,-0.6588341917762897,0.0,0.740582931599812,199-D5-103,2.0,Trend_Summary,9.612588502960759e-11,INTERP + EVENT,INTERP + EVENT,66.0,both,0.0,0.0009307753467189261,,
199-D5-103__ITER3,199-D5-103,3,66.0,ULAG,0.5525141127721311,0.2683711174034671,1.0,85.11188232099603,87.84647398096898,-40.555941160498016,29,0,INTERP+EVENT,True,43.91905239760153,-0.3314128502710413,0.0,1.0228705758333514,199-D5-103,3.0,Trend_Summary,2.2204460492503103e-15,INTERP + EVENT,INTERP + EVENT,66.0,both,0.0,0.5525141127721289,,
199-D5-103__ITER4,199-D5-103,4,66.0,ULAG,,,,,,,127,0,INTERP+EVENT,False,,,,,199-D5-103,4.0,Trend_Summary,2.86687562578436e-10,INTERP + EVENT,INTERP + EVENT,66.0,both,0.0,,,
199-D5-104__ITER1,199-D5-104,1,44.0,ULAG,0.08823918943063147,0.02338257988544186,1.0,115.13434934834443,118.56149348175305,-55.567174674172215,41,1,INTERP+EVENT,True,-37.63803601207272,0.3932724841345654,0.0,0.6150873191138914,199-D5-104,1.0,Trend_Summary,0.490697196523243,INTERP + EVENT,INTERP + EVENT,44.0,both,0.0,-0.40245800709261154,,
199-D5-104__ITER2,199-D5-104,2,44.0,ULAG,,,,,,,327,0,INTERP+EVENT,False,,,,,199-D5-104,2.0,Trend_Summary,0.0,INTERP + EVENT,INTERP + EVENT,44.0,both,0.0,,,
