"KEY","WELL","ITER","CLASS","p_trend","AIC","BIC","LAG"
"199-H1-35__ITER1","199-H1-35","1","Trend_Summary",NA,NA,NA,NA
"199-H1-35__ITER2","199-H1-35","2","Trend_Summary","2.99760216648792e-15","INTERP + EVENT","INTERP + EVENT","8"
"199-H1-36__ITER1","199-H1-36","1","Trend_Summary",NA,NA,NA,NA
"199-H1-36__ITER2","199-H1-36","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","33"
"199-H1-37__ITER1","199-H1-37","1","Trend_Summary",NA,NA,NA,NA
"199-H1-37__ITER2","199-H1-37","2","Trend_Summary","9.19301301749442e-11","INTERP + EVENT","INTERP + EVENT","4"
"199-H1-38__ITER1","199-H1-38","1","Trend_Summary",NA,NA,NA,NA
"199-H1-38__ITER2","199-H1-38","2","Trend_Summary","5.24025267623074e-14","INTERP + EVENT","INTERP + EVENT","25"
"199-H1-4__ITER1","199-H1-4","1","Trend_Summary",NA,NA,NA,NA
"199-H1-4__ITER2","199-H1-4","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","59"
"199-H1-40__ITER1","199-H1-40","1","Trend_Summary",NA,NA,NA,NA
"199-H1-40__ITER2","199-H1-40","2","Trend_Summary","3.27051393558264e-05","INTERP + EVENT","INTERP + EVENT","6"
"199-H1-42__ITER1","199-H1-42","1","Trend_Summary",NA,NA,NA,NA
"199-H1-42__ITER2","199-H1-42","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","14"
"199-H1-43__ITER1","199-H1-43","1","Trend_Summary",NA,NA,NA,NA
"199-H1-43__ITER2","199-H1-43","2","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","8"
"199-H1-45__ITER1","199-H1-45","1","Trend_Summary",NA,NA,NA,NA
"199-H1-45__ITER2","199-H1-45","2","Trend_Summary","3.41893520627856e-06","INTERP + EVENT","INTERP + EVENT","43"
"199-H1-45__ITER3","199-H1-45","3","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","21"
"199-H1-46__ITER1","199-H1-46","1","Trend_Summary","0","INTERP + EVENT","INTERP + EVENT","10"
"199-H1-47__ITER1","199-H1-47","1","Trend_Summary","0.000100644523977733","INTERP + EVENT","INTERP + EVENT","83"
"199-H1-48__ITER1","199-H1-48","1","Trend_Summary","1.23498667958799e-08","INTERP + EVENT","INTERP + EVENT","24"
"199-H1-49__ITER1","199-H1-49","1","Trend_Summary","0.000120578610126265","INTERP + EVENT","INTERP + EVENT","0"
"199-H1-50__ITER1","199-H1-50","1","Trend_Summary","0.167731964796282","EVENT","EVENT","0"
"199-H1-51__ITER1","199-H1-51","1","Trend_Summary","0.0245928754050471","INTERP + EVENT","INTERP + EVENT","88"
"199-H1-7__ITER1","199-H1-7","1","Trend_Summary",NA,NA,NA,NA
"199-H1-7__ITER2","199-H1-7","2","Trend_Summary","0.162986640695455","INTERP + EVENT","INTERP + EVENT","6"
"199-H2-1__ITER1","199-H2-1","1","Trend_Summary","2.26259876834334e-06","EVENT","EVENT","0"
"199-H2-1__ITER2","199-H2-1","2","Trend_Summary","1.40801076353725e-08","EVENT","EVENT","0"
"199-H3-10__ITER1","199-H3-10","1","Trend_Summary","0.103672100624709","EVENT","EVENT","0"
"199-H3-11__ITER1","199-H3-11","1","Trend_Summary","0.0211386558636976","INTERP + EVENT","INTERP + EVENT","80"
"199-H3-12__ITER1","199-H3-12","1","Trend_Summary","5.24269516688491e-11","EVENT","EVENT","0"
"199-H3-13__ITER1","199-H3-13","1","Trend_Summary","0.000280499483115038","EVENT","EVENT","0"
"199-H3-15__ITER1","199-H3-15","1","Trend_Summary","0.0662009473709098","EVENT","EVENT","0"
"199-H3-21__ITER1","199-H3-21","1","Trend_Summary","5.10875506898323e-07","INTERP + EVENT","INTERP + EVENT","8"
"199-H3-22__ITER1","199-H3-22","1","Trend_Summary","0","EVENT","EVENT","0"
"199-H3-25__ITER1","199-H3-25","1","Trend_Summary",NA,NA,NA,NA
"199-H3-25__ITER2","199-H3-25","2","Trend_Summary","0.016653455913519","INTERP + EVENT","INTERP + EVENT","29"
"199-H3-26__ITER1","199-H3-26","1","Trend_Summary","0.00597073732855102","INTERP + EVENT","INTERP + EVENT","43"
"199-H3-28__ITER1","199-H3-28","1","Trend_Summary","1.33226762955019e-15","EVENT","EVENT","0"
